datetime,temperature,humidity
2024-06-26T19:16:54Z,23.1,74.1
2024-06-26T20:16:54Z,21.5,77.5
2024-06-26T21:16:54Z,20.4,80.1
2024-06-26T22:16:54Z,19.8,81.3
2024-06-26T23:16:54Z,19.5,83.3
2024-06-27T00:16:54Z,19.0,87.2
2024-06-27T01:16:54Z,18.6,90.3
2024-06-27T02:16:54Z,18.5,91.5
2024-06-27T03:16:54Z,18.5,92.2
2024-06-27T04:16:54Z,19.3,90.1
2024-06-27T05:16:54Z,21.0,86.3
2024-06-27T06:16:54Z,23.0,82.4
2024-06-27T07:16:54Z,24.8,76.7
2024-06-27T08:16:54Z,26.2,70.8
2024-06-27T09:16:54Z,27.2,64.2
2024-06-27T10:16:54Z,27.9,58.0
2024-06-27T11:16:54Z,28.3,52.6
2024-06-27T12:16:54Z,28.3,51.8
2024-06-27T13:16:54Z,28.3,51.9
2024-06-27T14:16:54Z,27.9,52.5
2024-06-27T15:16:54Z,26.4,58.4
2024-06-27T16:16:54Z,24.0,72.5
2024-06-27T17:16:54Z,24.2,72.3
2024-06-27T18:16:54Z,24.0,74.1
2024-06-27T19:16:54Z,22.4,80.2
2024-06-27T20:16:54Z,20.8,82.0
2024-06-27T21:16:54Z,20.0,84.1
2024-06-27T22:16:54Z,20.0,82.6
2024-06-27T23:16:54Z,19.6,79.9
2024-06-28T00:16:54Z,18.9,80.0
2024-06-28T01:16:54Z,18.0,82.8
2024-06-28T02:16:54Z,17.0,84.8
2024-06-28T03:16:54Z,16.2,87.6
2024-06-28T04:16:54Z,16.2,86.6
2024-06-28T05:16:54Z,17.1,82.0
2024-06-28T06:16:54Z,18.1,76.2
2024-06-28T07:16:54Z,19.0,69.9
2024-06-28T08:16:54Z,19.6,64.5
2024-06-28T09:16:54Z,20.1,60.3
2024-06-28T10:16:54Z,20.7,57.1
2024-06-28T11:16:54Z,21.1,53.3
2024-06-28T12:16:54Z,21.0,52.3
2024-06-28T13:16:54Z,20.9,52.9
2024-06-28T14:16:54Z,20.7,53.6
2024-06-28T15:16:54Z,20.4,54.7
2024-06-28T16:16:54Z,19.7,56.8
2024-06-28T17:16:54Z,19.0,59.0
2024-06-28T18:16:54Z,18.2,62.1
2024-06-28T19:16:54Z,16.8,67.9
2024-06-28T20:16:54Z,15.4,74.5
2024-06-28T21:16:54Z,14.0,81.1
2024-06-28T22:16:54Z,13.1,85.0
2024-06-28T23:16:54Z,12.1,88.9
2024-06-29T00:16:54Z,11.4,92.0
2024-06-29T01:16:54Z,11.2,92.6
2024-06-29T02:16:54Z,11.1,92.7
2024-06-29T03:16:54Z,11.5,91.1
2024-06-29T04:16:54Z,13.3,86.5
2024-06-29T05:16:54Z,15.0,82.1
2024-06-29T06:16:54Z,16.8,76.5
2024-06-29T07:16:54Z,18.6,68.2
2024-06-29T08:16:54Z,20.3,60.8
2024-06-29T09:16:54Z,21.7,55.3
2024-06-29T10:16:54Z,22.5,52.3
2024-06-29T11:16:54Z,23.3,49.6
2024-06-29T12:16:54Z,23.9,47.5
2024-06-29T13:16:54Z,24.3,46.6
2024-06-29T14:16:54Z,24.6,45.8
2024-06-29T15:16:54Z,24.7,46.5
2024-06-29T16:16:54Z,24.1,50.9
2024-06-29T17:16:54Z,23.5,55.8
2024-06-29T18:16:54Z,22.6,60.8
2024-06-29T19:16:54Z,20.6,65.3
2024-06-29T20:16:54Z,18.7,70.2
2024-06-29T21:16:54Z,17.2,74.8
2024-06-29T22:16:54Z,16.6,77.2
2024-06-29T23:16:54Z,16.1,79.7
2024-06-30T00:16:54Z,15.7,82.0
2024-06-30T01:16:54Z,15.6,84.1
2024-06-30T02:16:54Z,15.5,85.9
2024-06-30T03:16:54Z,15.7,86.4
2024-06-30T04:16:54Z,16.4,84.8
2024-06-30T05:16:54Z,17.1,83.2
2024-06-30T06:16:54Z,17.9,80.5
2024-06-30T07:16:54Z,18.7,75.2
2024-06-30T08:16:54Z,19.5,70.4
2024-06-30T09:16:54Z,20.2,65.9
2024-06-30T10:16:54Z,20.3,61.8
2024-06-30T11:16:54Z,20.4,58.1
2024-06-30T12:16:54Z,20.3,56.2
2024-06-30T13:16:54Z,19.7,58.7
2024-06-30T14:16:54Z,19.1,61.2
2024-06-30T15:16:54Z,18.6,63.8
2024-06-30T16:16:54Z,18.1,66.3
2024-06-30T17:16:54Z,17.7,68.8
2024-06-30T18:16:54Z,17.0,71.8
2024-06-30T19:16:54Z,16.0,75.6
2024-06-30T20:16:54Z,15.0,79.9
2024-06-30T21:16:54Z,14.0,83.3
2024-06-30T22:16:54Z,13.4,83.3
2024-06-30T23:16:54Z,12.9,83.1
2024-07-01T00:16:54Z,12.5,82.9
2024-07-01T01:16:54Z,12.3,83.0
2024-07-01T02:16:54Z,12.2,82.8
2024-07-01T03:16:54Z,12.3,82.1
2024-07-01T04:16:54Z,12.8,80.8
2024-07-01T05:16:54Z,13.3,79.7
2024-07-01T06:16:54Z,13.7,78.7
2024-07-01T07:16:54Z,14.2,77.7
2024-07-01T08:16:54Z,14.7,76.6
2024-07-01T09:16:54Z,15.1,76.1
2024-07-01T10:16:54Z,15.1,77.2
2024-07-01T11:16:54Z,15.2,78.4
2024-07-01T12:16:54Z,15.2,79.8
2024-07-01T13:16:54Z,15.2,81.8
2024-07-01T14:16:54Z,15.2,83.9
2024-07-01T15:16:54Z,15.1,85.1
2024-07-01T16:16:54Z,15.1,83.7
2024-07-01T17:16:54Z,15.1,82.3
2024-07-01T18:16:54Z,15.1,80.8
2024-07-01T19:16:54Z,15.1,79.3
