datetime,temperature,humidity
2024-06-26T17:29:34Z,17.9,82.2
2024-06-26T18:29:34Z,18.6,75.5
2024-06-26T19:29:34Z,17.5,82.8
2024-06-26T20:29:34Z,16.9,88.8
2024-06-26T21:29:34Z,18.4,71.5
2024-06-26T22:29:34Z,16.6,76.6
2024-06-26T23:29:34Z,18.0,65.2
2024-06-27T00:29:34Z,18.4,57.5
2024-06-27T01:29:34Z,18.3,55.5
2024-06-27T02:29:34Z,18.1,55.8
2024-06-27T03:29:34Z,18.4,54.1
2024-06-27T04:29:34Z,19.5,52.0
2024-06-27T05:29:34Z,19.5,56.1
2024-06-27T06:29:34Z,21.1,56.7
2024-06-27T07:29:34Z,21.8,59.3
2024-06-27T08:29:34Z,22.5,59.6
2024-06-27T09:29:34Z,23.4,59.3
2024-06-27T10:29:34Z,23.9,58.3
2024-06-27T11:29:34Z,24.6,56.4
2024-06-27T12:29:34Z,25.2,51.8
2024-06-27T13:29:34Z,24.7,59.4
2024-06-27T14:29:34Z,25.0,54.7
2024-06-27T15:29:34Z,24.1,58.0
2024-06-27T16:29:34Z,23.5,63.8
2024-06-27T17:29:34Z,23.3,67.0
2024-06-27T18:29:34Z,22.9,67.4
2024-06-27T19:29:34Z,20.8,78.7
2024-06-27T20:29:34Z,20.6,79.5
2024-06-27T21:29:34Z,19.3,84.1
2024-06-27T22:29:34Z,20.1,78.8
2024-06-27T23:29:34Z,19.4,82.1
2024-06-28T00:29:34Z,20.6,74.7
2024-06-28T01:29:34Z,20.6,74.1
2024-06-28T02:29:34Z,20.6,72.2
2024-06-28T03:29:34Z,20.8,69.1
2024-06-28T04:29:34Z,21.6,65.0
2024-06-28T05:29:34Z,21.7,65.9
2024-06-28T06:29:34Z,23.4,61.6
2024-06-28T07:29:34Z,24.1,58.9
2024-06-28T08:29:34Z,24.4,59.1
2024-06-28T09:29:34Z,23.3,66.6
2024-06-28T10:29:34Z,25.0,59.4
2024-06-28T11:29:34Z,26.0,54.3
2024-06-28T12:29:34Z,26.0,56.7
2024-06-28T13:29:34Z,26.3,56.4
2024-06-28T14:29:34Z,26.2,56.7
2024-06-28T15:29:34Z,26.1,58.8
2024-06-28T16:29:34Z,25.5,62.8
2024-06-28T17:29:34Z,24.6,68.0
2024-06-28T18:29:34Z,24.0,70.0
2024-06-28T19:29:34Z,22.3,66.7
2024-06-28T20:29:34Z,20.9,66.2
2024-06-28T21:29:34Z,20.4,65.7
2024-06-28T22:29:34Z,19.9,70.1
2024-06-28T23:29:34Z,19.4,76.4
2024-06-29T00:29:34Z,19.4,84.1
2024-06-29T01:29:34Z,18.5,87.0
2024-06-29T02:29:34Z,17.5,89.4
2024-06-29T03:29:34Z,16.7,91.4
2024-06-29T04:29:34Z,17.4,88.8
2024-06-29T05:29:34Z,19.8,78.3
2024-06-29T06:29:34Z,22.0,71.7
2024-06-29T07:29:34Z,24.0,64.3
2024-06-29T08:29:34Z,25.9,65.3
2024-06-29T09:29:34Z,28.4,51.8
2024-06-29T10:29:34Z,28.5,58.0
2024-06-29T11:29:34Z,28.8,58.9
2024-06-29T12:29:34Z,27.9,61.0
2024-06-29T13:29:34Z,28.2,62.0
2024-06-29T14:29:34Z,28.5,63.0
2024-06-29T15:29:34Z,28.3,65.1
2024-06-29T16:29:34Z,27.5,68.3
2024-06-29T17:29:34Z,26.7,71.7
2024-06-29T18:29:34Z,26.0,69.4
2024-06-29T19:29:34Z,25.3,61.7
2024-06-29T20:29:34Z,24.7,54.5
2024-06-29T21:29:34Z,23.8,54.1
2024-06-29T22:29:34Z,22.7,60.7
2024-06-29T23:29:34Z,21.6,68.2
2024-06-30T00:29:34Z,20.7,73.8
2024-06-30T01:29:34Z,19.9,77.1
2024-06-30T02:29:34Z,19.2,80.7
2024-06-30T03:29:34Z,18.7,83.6
2024-06-30T04:29:34Z,18.5,85.8
2024-06-30T05:29:34Z,18.3,88.0
2024-06-30T06:29:34Z,18.6,87.7
2024-06-30T07:29:34Z,19.5,85.0
2024-06-30T08:29:34Z,20.3,82.3
2024-06-30T09:29:34Z,20.8,79.9
2024-06-30T10:29:34Z,21.0,77.7
2024-06-30T11:29:34Z,21.2,75.6
2024-06-30T12:29:34Z,20.9,75.5
2024-06-30T13:29:34Z,20.2,77.5
2024-06-30T14:29:34Z,19.4,79.6
2024-06-30T15:29:34Z,18.7,81.0
2024-06-30T16:29:34Z,17.9,81.7
2024-06-30T17:29:34Z,17.2,82.4
2024-06-30T18:29:34Z,16.5,82.8
2024-06-30T19:29:34Z,15.8,82.9
2024-06-30T20:29:34Z,15.2,83.0
2024-06-30T21:29:34Z,14.8,83.2
2024-06-30T22:29:34Z,14.6,83.5
2024-06-30T23:29:34Z,14.4,83.8
2024-07-01T00:29:34Z,14.0,85.2
2024-07-01T01:29:34Z,13.4,87.8
2024-07-01T02:29:34Z,12.8,90.4
2024-07-01T03:29:34Z,13.0,89.2
2024-07-01T04:29:34Z,13.8,84.3
2024-07-01T05:29:34Z,14.7,79.6
2024-07-01T06:29:34Z,15.5,75.4
2024-07-01T07:29:34Z,16.3,71.4
2024-07-01T08:29:34Z,17.1,67.7
2024-07-01T09:29:34Z,17.9,65.2
2024-07-01T10:29:34Z,18.7,63.8
2024-07-01T11:29:34Z,19.5,62.5
2024-07-01T12:29:34Z,19.4,64.4
2024-07-01T13:29:34Z,18.4,70.0
2024-07-01T14:29:34Z,17.5,76.1
2024-07-01T15:29:34Z,16.9,79.3
2024-07-01T16:29:34Z,16.5,79.2
2024-07-01T17:29:34Z,16.2,79.1
